City_ID,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
166,hakkari,FI,1558378896,61.34,23.75,69.8,46,0,5.82
167,half moon bay,US,1558378692,37.46,-122.43,62.01,67,90,9.17
168,hambantota,LK,1558378766,6.12,81.12,80.6,100,40,3.36
169,hami,CN,1558378834,42.84,93.51,69.72,11,0,6.2
170,hamilton,CA,1558378635,43.26,-79.87,59,67,90,14.99
171,hare bay,CA,1558378874,48.86,-53.99,46,64,75,17.22
172,hasaki,JP,1558378841,35.73,140.83,66.2,93,75,16.11
173,hastings,NZ,1558378877,-39.64,176.84,42.18,93,0,2.64
174,havelock,US,1558378595,34.88,-76.9,88,51,1,12.75
175,havoysund,NO,1558378784,71,24.66,39.2,80,20,24.16
176,henties bay,NA,1558378880,-22.12,14.28,59,91,0,5.99
177,hereford,GB,1558378883,52.06,-2.72,64,59,40,3.36
178,hermanus,ZA,1558378761,-34.42,19.24,55,74,9,23.78
179,high prairie,CA,1558378893,55.43,-116.48,61.8,34,0,16.46
180,high rock,BS,1558378893,26.63,-78.28,75.2,83,75,12.75
181,hilo,US,1558378755,19.71,-155.08,79,69,40,4.7
182,hirara,JP,1558378895,24.8,125.28,75.48,67,37,26.15
183,hithadhoo,MV,1558378650,-0.6,73.08,84.12,75,100,11.3
184,hobart,AU,1558378795,-42.88,147.33,57.99,66,40,5.82
185,hobyo,SO,1558378767,5.35,48.53,83.58,71,91,13.49
186,hofn,IS,1558378764,64.25,-15.21,48.2,81,90,6.93
187,horta,ES,1558378885,41.43,2.16,64.99,72,40,6.93
188,hulan ergi,CN,1558378853,47.2,123.63,48.48,85,100,15.26
189,hutang,CN,1558378793,29.22,119.85,59.1,71,4,3.31
190,ibra,OM,1558378782,22.69,58.55,87.18,41,100,17.4
191,ilulissat,GL,1558378791,69.22,-51.1,33.8,86,90,4.7
192,ingham,AU,1558378880,-18.65,146.16,64.32,97,24,3.29
193,iqaluit,CA,1558378780,63.75,-68.52,33.8,86,90,6.93
194,isangel,VU,1558378875,-19.55,169.27,74.76,76,13,20.18
195,ishigaki,JP,1558378853,24.34,124.16,76.2,73,69,24.34
196,iwanai,JP,1558378855,42.97,140.51,56.04,87,100,11.32
197,jalu,LY,1558378836,29.03,21.55,100.14,5,73,11.07
198,jamestown,AU,1558378769,-33.21,138.6,54.78,52,84,5.86
199,jiuquan,CN,1558378844,39.73,98.49,59.64,14,0,5.5
200,juiz de fora,BR,1558378833,-21.76,-43.35,75.2,44,20,8.05
201,juneau,US,1558378850,58.3,-134.42,57.2,71,75,11.41
202,kaabong,UG,1558378792,3.51,34.14,64.86,92,100,2.91
203,kaitangata,NZ,1558378789,-46.28,169.85,52,67,16,10
204,kajaani,FI,1558378827,64.22,27.73,59,62,0,6.93
205,kalabo,ZM,1558378871,-15,22.67,69.9,42,47,4.72
206,kalat,PK,1558378846,29.03,66.58,66.84,44,47,4
207,kambove,CD,1558378891,-10.88,26.6,62.52,91,15,3.36
208,kantang,TH,1558378759,7.42,99.52,78.8,94,20,6.93
209,kapaa,US,1558378773,22.08,-159.32,80.6,74,20,10.29
210,kargasok,RU,1558378862,59.06,80.87,43.08,79,82,8.63
211,kathmandu,NP,1558378762,27.71,85.32,71.6,73,75,6.67
212,katobu,ID,1558378814,-4.94,122.53,75.66,93,17,1.54
213,katsuura,JP,1558378772,33.93,134.5,66.2,93,90,5.82
214,kavieng,PG,1558378787,-2.57,150.8,82.86,75,100,3.76
215,kayseri,TR,1558378862,38.73,35.48,66.2,48,40,3.36
216,keflavik,IS,1558378788,64,-22.56,51.01,100,75,9.17
217,ketchikan,US,1558378684,55.34,-131.65,55.4,76,1,17.22
218,khash,IR,1558378844,28.22,61.21,68.28,43,32,12.5
219,khatanga,RU,1558378764,71.98,102.47,9.96,92,10,10.94
220,khor,RU,1558378768,47.88,134.96,54.96,94,100,7.36
221,kibakwe,TZ,1558378841,-6.71,36.37,69.54,74,46,5.44
222,kibaya,RW,1558378779,-2.2,30.56,66.2,88,75,3.36
223,kieta,PG,1558378871,-6.22,155.63,82.5,72,97,4.09
224,kingston,CA,1558378724,44.23,-76.48,70,63,75,19.46
225,kirkuk,IQ,1558378874,35.47,44.4,86.82,16,0,7.36
226,kizukuri,JP,1558378851,40.81,140.39,68,59,100,1.01
227,kodiak,US,1558378763,39.95,-94.76,53.01,63,1,8.05
228,kodinsk,RU,1558378758,58.6,99.18,48.84,81,14,4.97
229,kokstad,ZA,1558378831,-30.55,29.42,57.12,33,51,3.65
230,kolyvan,RU,1558378764,55.31,82.74,48.2,87,0,4.47
231,komsomolskiy,RU,1558378856,67.55,63.78,18.78,93,55,13.2
232,koronowo,PL,1558378736,53.31,17.94,71.01,60,20,3.36
233,koumac,NC,1558378775,-20.56,164.28,74.4,68,0,12.86
234,kruisfontein,ZA,1558378762,-34,24.73,55.68,69,92,16.53
235,kununurra,AU,1558378894,-15.77,128.74,82.4,58,75,6.93
236,kvarkeno,RU,1558378845,52.08,59.73,44.88,56,77,8.21
237,kyren,RU,1558378872,51.68,102.13,38.04,57,100,5.79
238,la esperanza,HN,1558378787,14.31,-88.18,87.8,62,75,4.7
239,la libertad,PE,1558378855,-16.38,-71.56,64.4,36,0,8.05
240,la ronge,CA,1558378869,55.1,-105.3,62.6,33,40,10.29
241,la seyne-sur-mer,FR,1558378897,43.1,5.88,69.01,72,0,2.24
242,labuan,BN,1558378808,5.28,115.24,80.6,88,75,5.21
243,labuhan,ID,1558378794,-2.54,115.51,75.48,86,18,2.8
244,lagoa,PT,1558378790,37.14,-8.45,73.4,46,20,18.34
245,lagos,NG,1558378870,6.46,3.39,82.4,83,20,3.36
246,lahaina,US,1558378883,20.87,-156.68,82.4,61,20,11.41
247,launceston,AU,1558378770,-41.43,147.14,55,93,40,14.99
248,lavrentiya,RU,1558378780,65.58,-170.99,28.32,95,31,6.4
249,lazaro cardenas,MX,1558378792,28.39,-105.62,88,14,75,21.92
250,le marin,MQ,1558378788,14.47,-60.87,87.8,62,75,19.46
251,le port,FR,1558378795,42.87,1.37,60.01,64,25,4.47
252,lebu,ET,1558378826,8.96,38.73,64.4,68,75,2.95
253,leh,IN,1558378857,34.16,77.58,25.8,51,33,3.58
254,leningradskiy,RU,1558378827,69.38,178.42,22.2,80,0,6.38
255,lockhart,AU,1558378821,-35.22,146.72,55.4,76,75,3.36
256,loikaw,MM,1558378892,19.67,97.21,69.18,85,100,3.4
257,lokomotivnyy,RU,1558378843,53.01,60.57,41.1,61,38,9.42
258,lokosovo,RU,1558378778,61.13,74.84,44.52,68,100,9.17
259,lompoc,US,1558378662,34.64,-120.46,66.99,63,75,12.75
260,longyearbyen,NO,1558378873,78.22,15.63,28.4,74,75,5.82
261,lorengau,PG,1558378869,-2.02,147.27,77.46,89,100,1.12
262,los teques,VE,1558378674,10.35,-67.04,87.01,66,40,3.36
263,loukhi,RU,1558378847,66.08,33.04,38.04,75,100,9.91
264,luanda,AO,1558378792,-8.83,13.24,78.8,78,20,6.93
265,lucapa,AO,1558378880,-8.42,20.74,78.36,48,65,2.73
266,luderitz,NA,1558378806,-26.65,15.16,62.6,72,39,18.34
267,lyuban,BY,1558378625,52.8,28,67.92,68,39,12.15
268,macau,BR,1558378878,-5.11,-36.64,86.1,65,70,13.85
269,mackay,CA,1558378789,53.65,-115.58,59,28,20,20.8
270,madaoua,NE,1558378892,14.07,5.96,104.1,18,71,3.36
271,madikeri,IN,1558378843,12.42,75.74,84.2,89,75,2.24
272,mahebourg,MU,1558378503,-20.41,57.7,78.8,74,75,11.41
273,mahon,IE,1558378851,51.89,-8.4,57,71,75,9.17
274,makakilo city,US,1558378845,21.35,-158.09,82.99,69,75,11.41
275,malindi,KE,1558378808,-3.22,40.12,77,88,75,9.17
276,mamakan,RU,1558378760,57.82,114.02,31.38,90,26,2.82
277,manado,ID,1558378784,1.49,124.85,73.4,100,40,4.97
278,manama,AE,1558378872,25.33,56.02,91.4,52,0,14.99
279,mandalgovi,MN,1558378890,45.76,106.27,48.66,36,0,1.34
280,mandera,ET,1558378731,3.94,41.86,87.18,47,69,8.03
281,maniitsoq,GL,1558378877,65.42,-52.9,40.02,76,1,8.08
282,manuk mangkaw,PH,1558378883,4.8,119.85,86.1,68,99,5.57
283,manzhouli,CN,1558378819,49.6,117.43,45.24,45,35,13.67
284,mar del plata,AR,1558378763,-46.43,-67.52,50.1,33,5,18.52
285,maragogi,BR,1558378610,-9.01,-35.22,83.94,69,97,9.42
286,marawi,PH,1558378796,8,124.29,77,93,12,5.01
287,margate,AU,1558378778,-43.03,147.26,57.99,66,40,5.82
288,markova,RU,1558378835,52.21,104.21,46.4,49,0,6.71
289,marzuq,YE,1558378896,14.4,46.47,79.44,36,84,6.02
290,matam,SN,1558378897,15.66,-13.26,102.12,14,1,11.61
291,mataura,NZ,1558378772,-46.19,168.86,48,88,58,1.99
292,mayor pablo lagerenza,PY,1558378761,-19.93,-60.77,91.86,33,43,14.9
293,mbigou,GA,1558378773,-1.9,11.91,72.6,94,70,1.63
294,mecca,SA,1558378872,21.43,39.83,88.62,48,1,1.74
295,medicine hat,CA,1558378863,50.04,-110.68,55.4,32,75,14.99
296,melfi,IT,1558378779,41,15.66,59,87,20,10.29
297,meulaboh,ID,1558378877,4.14,96.13,81.6,81,100,5.88
298,mikkeli,FI,1558378844,61.69,27.27,62.6,59,0,6.93
299,miraflores,CO,1558378848,5.2,-73.14,68.64,60,99,5.44
300,mizan teferi,ET,1558378888,6.99,35.58,63.42,80,59,3.06
301,mnogovershinnyy,RU,1558378793,53.94,139.92,39.12,96,100,8.05
302,mocuba,MZ,1558378804,-16.84,36.99,65.76,90,1,2.42
303,mogadishu,SO,1558378801,2.04,45.34,80.88,79,79,9.78
304,mogok,MM,1558378844,22.92,96.51,72.24,51,0,2.77
305,monrovia,LR,1558378789,6.33,-10.8,84.2,79,40,9.17
306,morant bay,JM,1558378853,17.88,-76.41,86,62,20,23.04
307,morondava,MG,1558378780,-20.3,44.28,79.08,69,0,9.06
308,moses lake,US,1558378804,47.13,-119.28,69.8,22,1,13.87
309,motygino,RU,1558378778,58.18,94.69,49.2,84,85,5.23
310,mount gambier,AU,1558378628,-37.83,140.78,53.6,100,90,8.05
311,mount isa,AU,1558378794,-20.73,139.49,68,56,0,6.93
312,muravlenko,RU,1558378887,63.79,74.5,34.98,89,28,7.83
313,murray bridge,AU,1558378827,-35.12,139.28,55.99,89,100,1.01
314,muskegon,US,1558378605,43.23,-86.25,50,70,90,12.75
315,muzhi,RU,1558378856,65.4,64.7,30.3,85,100,11.63
316,nador,MA,1558378499,35.17,-2.93,75.2,40,0,6.93
317,nago,IT,1558378863,45.88,10.89,60.01,93,40,3.36
318,nagua,DO,1558378782,19.37,-69.85,89.6,70,75,6.93
319,najran,SA,1558378772,17.54,44.22,69.8,77,75,11.41
320,namatanai,PG,1558378793,-3.66,152.44,77.46,88,100,5.95
321,namibe,AO,1558378870,-15.19,12.15,71.7,74,0,17.4
322,namioka,JP,1558378793,40.71,140.59,68,52,75,11.41
323,nanortalik,GL,1558378766,60.14,-45.24,43.08,72,29,4.68
324,nardaran,AZ,1558378782,40.56,50.01,66.2,52,40,19.46
325,narok,KE,1558378887,-1.09,35.87,56.76,91,35,6.64
326,narsaq,GL,1558378784,60.91,-46.05,57.2,28,20,9.17
327,naryan-mar,RU,1558378791,67.67,53.09,27.24,90,0,8.19
328,natchez,US,1558378892,31.56,-91.4,87.01,74,1,6.93
329,necochea,AR,1558378887,-38.55,-58.74,59,47,100,5.99
330,nelson bay,AU,1558378870,-32.72,152.14,59,93,2,3.36
331,new norfolk,AU,1558378759,-42.78,147.06,57.99,66,40,5.82
332,nikolskoye,RU,1558378770,59.7,30.79,69.01,56,20,4.47
333,nioro,GM,1558378846,13.79,-15.05,101.4,15,76,6.02
334,nome,US,1558378882,30.04,-94.42,87.8,62,40,12.75
335,norilsk,RU,1558378884,69.35,88.2,15.8,92,75,29.08
336,norman wells,CA,1558378785,65.28,-126.83,66.2,45,75,6.93
337,north bend,US,1558378869,43.41,-124.22,63,58,40,12.75
338,noumea,NC,1558378811,-22.28,166.46,64.4,77,0,2.24
339,novonukutskiy,RU,1558378861,53.7,102.71,56.04,40,96,4.81
340,novyy urgal,RU,1558378899,51.07,132.56,49.74,93,100,2.68
341,nuuk,GL,1558378889,64.17,-51.74,42.8,70,20,8.05
342,ocean city,US,1558378788,30.44,-86.61,93,66,40,13.87
343,oga,NG,1558378889,8.18,5.65,80.88,72,94,8.28
344,ogbomosho,NG,1558378873,8.13,4.25,84.66,61,97,8.72
345,okha,RU,1558378823,53.59,142.95,40.38,96,100,13.62
346,okhotsk,RU,1558378877,59.36,143.24,41.46,77,87,6.53
347,onokhoy,RU,1558378857,51.92,108.05,37.4,51,33,2.24
348,opuwo,NA,1558378523,-18.06,13.84,72.06,23,0,5.44
349,oranjestad,AW,1558378652,12.52,-70.03,87.8,62,20,25.28
350,ostrovnoy,RU,1558378754,68.05,39.51,37.5,72,2,7.16
351,paamiut,GL,1558378794,61.99,-49.67,35.7,91,7,16.31
352,pacific grove,US,1558378883,36.62,-121.92,64,77,90,4.7
353,padang,ID,1558378896,-0.92,100.36,81.24,82,100,7.65
354,pahrump,US,1558378834,36.21,-115.98,68,41,75,11.5
355,paita,PE,1558378778,-5.09,-81.11,62.6,290,0,17.22
356,palu,ID,1558378897,-0.9,119.87,78.72,80,72,3.83
357,pampierstad,ZA,1558378859,-27.78,24.69,67.02,23,0,10.38
358,pangnirtung,CA,1558378841,66.15,-65.72,35.6,80,75,18.34
359,paraiso,MX,1558378898,24.01,-104.61,84.2,4,5,16.11
360,pasni,PK,1558378823,25.26,63.48,86.82,52,0,9.17
361,perth,GB,1558378872,56.4,-3.43,59,82,20,3.36
